"키워드(2026.06.01.~2026.06.30.),2439317",,,,,,,,,
일별,시간대별,캠페인,키워드,PC/모바일 매체,노출수,클릭수,클릭률(%),평균 CPC,총비용
2026.06.01.,00시~01시,개인회생_에이스,개인회생파산,모바일,4,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생파산,모바일,3,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생파산,모바일,6,0,0,0,0
2026.06.04.,00시~01시,개인회생_에이스,개인회생파산,모바일,1,0,0,0,0
2026.06.05.,00시~01시,개인회생_에이스,개인회생파산,모바일,2,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생파산,모바일,5,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생파산,모바일,3,0,0,0,0
2026.06.10.,00시~01시,개인회생_에이스,개인회생파산,모바일,3,0,0,0,0
2026.06.11.,00시~01시,개인회생_에이스,개인회생파산,모바일,2,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생파산,모바일,2,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생파산,모바일,1,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생파산,모바일,2,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생파산,모바일,1,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생파산,모바일,5,0,0,0,0
2026.06.22.,00시~01시,개인회생_에이스,개인회생파산,모바일,4,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생파산,모바일,5,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생파산,모바일,4,0,0,0,0
2026.06.25.,00시~01시,개인회생_에이스,개인회생파산,모바일,4,0,0,0,0
2026.06.26.,00시~01시,개인회생_에이스,개인회생파산,모바일,1,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생파산,모바일,2,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생파산,모바일,6,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,거창개인회생,PC,1,0,0,0,0
2026.06.10.,00시~01시,개인회생_에이스,경주개인회생,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,경주개인회생,PC,1,0,0,0,0
